imageFile,maxPumps,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrMessage.started,instrMessage.stopped,nPumps,size,earnings,popped,balloonBody.started,balloonBody.stopped,reminderMsg.started,reminderMsg.stopped,balloonValMsg.started,balloonValMsg.stopped,bankedMsg.started,bankedMsg.stopped,feedbackMsg.started,feedbackMsg.stopped,finalScore_2.started,finalScore_2.stopped,doneKey.keys,doneKey.rt,doneKey.started,doneKey.stopped,expName,gender (m/f),psychopyVersion,age,frameRate,session,date,participant,
blueBalloon.png,2,0,0,0,0,4.68110895157,None,0,0.1,0.0,False,None,None,None,None,None,None,None,None,5.98084902763,None,,,,,,,bart,,3.0.3,21,30.000758190242806,004,2019_Jul_09_1453,,
blueBalloon.png,4,0,1,1,1,,,1,0.115,0.05,False,7.48090004921,None,7.48090004921,None,7.48090004921,None,7.48090004921,None,8.71413302422,None,,,,,,,bart,,3.0.3,21,30.000758190242806,004,2019_Jul_09_1453,,
,,,,,,,,,,,,,,,,,,,,,,10.230782032,None,return,3.30073714256,10.230782032,None,bart,,3.0.3,21,30.000758190242806,004,2019_Jul_09_1453,,
