imageFile,maxPumps,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrMessage.started,instrMessage.stopped,nPumps,size,earnings,popped,balloonBody.started,balloonBody.stopped,reminderMsg.started,reminderMsg.stopped,balloonValMsg.started,balloonValMsg.stopped,bankedMsg.started,bankedMsg.stopped,feedbackMsg.started,feedbackMsg.stopped,expName,gender (m/f),psychopyVersion,age,frameRate,session,date,participant,
blueBalloon.png,2,0,0,0,0,4.82452178001,None,3,0.13,0.0,True,6.55786180496,None,6.55786180496,None,6.55786180496,None,6.55786180496,None,8.0911989212,None,bart,,3.0.3,21,29.992906340815995,004,2019_Jul_09_1421,,
blueBalloon.png,20,0,1,1,3,,,5,0.175,0.25,False,9.59122180939,None,9.59122180939,None,9.59122180939,None,9.59122180939,None,10.574477911,None,bart,,3.0.3,21,29.992906340815995,004,2019_Jul_09_1421,,
blueBalloon.png,26,0,2,2,4,,,17,0.355,0.85,False,12.0911178589,None,12.0911178589,None,12.0911178589,None,12.0911178589,None,15.2412028313,None,bart,,3.0.3,21,29.992906340815995,004,2019_Jul_09_1421,,
