imageFile,maxPumps,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrMessage.started,instrMessage.stopped,nPumps,size,earnings,popped,balloonBody.started,balloonBody.stopped,reminderMsg.started,reminderMsg.stopped,balloonValMsg.started,balloonValMsg.stopped,bankedMsg.started,bankedMsg.stopped,feedbackMsg.started,feedbackMsg.stopped,finalScore_2.started,finalScore_2.stopped,doneKey.keys,doneKey.rt,doneKey.started,doneKey.stopped,expName,gender (m/f),psychopyVersion,age,frameRate,session,date,participant,
blueBalloon.png,None,0,20,20,11,,,1,0.115,0.05,False,49.802767992,None,49.802767992,None,49.802767992,None,49.802767992,None,50.1008009911,None,,,,,,,bart,m,3.0.3,26,60.029855317638535,004,2019_Jul_09_2126,Kevin,
blueBalloon.png,None,0,21,21,23,,,1,0.115,0.05,False,51.6326920986,None,51.6326920986,None,51.6326920986,None,51.6326920986,None,51.8805689812,None,,,,,,,bart,m,3.0.3,26,60.029855317638535,004,2019_Jul_09_2126,Kevin,
blueBalloon.png,None,0,22,22,17,,,1,0.115,0.05,False,53.4217031002,None,53.4217031002,None,53.4217031002,None,53.4217031002,None,53.6663219929,None,,,,,,,bart,m,3.0.3,26,60.029855317638535,004,2019_Jul_09_2126,Kevin,
blueBalloon.png,9.0,0,23,23,7,,,1,0.115,0.05,False,55.2021911144,None,55.2021911144,None,55.2021911144,None,55.2021911144,None,55.4470291138,None,,,,,,,bart,m,3.0.3,26,60.029855317638535,004,2019_Jul_09_2126,Kevin,
blueBalloon.png,None,0,24,24,21,,,1,0.115,0.05,False,56.9807450771,None,56.9807450771,None,56.9807450771,None,56.9807450771,None,57.2499470711,None,,,,,,,bart,m,3.0.3,26,60.029855317638535,004,2019_Jul_09_2126,Kevin,
blueBalloon.png,None,0,25,25,29,,,1,0.115,0.05,False,58.7831289768,None,58.7831289768,None,58.7831289768,None,58.7831289768,None,59.0739791393,None,,,,,,,bart,m,3.0.3,26,60.029855317638535,004,2019_Jul_09_2126,Kevin,
blueBalloon.png,None,0,26,26,27,,,0,0.1,0.0,False,60.6088731289,None,60.6088731289,None,60.6088731289,None,60.6088731289,None,60.8301990032,None,,,,,,,bart,m,3.0.3,26,60.029855317638535,004,2019_Jul_09_2126,Kevin,
blueBalloon.png,None,0,27,27,19,,,2,0.13,0.1,False,62.321762085,None,62.321762085,None,62.321762085,None,62.321762085,None,62.6189091206,None,,,,,,,bart,m,3.0.3,26,60.029855317638535,004,2019_Jul_09_2126,Kevin,
blueBalloon.png,None,0,28,28,20,,,1,0.115,0.05,False,64.1354219913,None,64.1354219913,None,64.1354219913,None,64.1354219913,None,64.4139430523,None,,,,,,,bart,m,3.0.3,26,60.029855317638535,004,2019_Jul_09_2126,Kevin,
blueBalloon.png,None,0,29,29,16,,,1,0.115,0.05,False,65.9303059578,None,65.9303059578,None,65.9303059578,None,65.9303059578,None,66.2486021519,None,,,,,,,bart,m,3.0.3,26,60.029855317638535,004,2019_Jul_09_2126,Kevin,
,,,,,,,,,,,,,,,,,,,,,,67.8912160397,None,space,5.58160805702,67.8912160397,None,bart,m,3.0.3,26,60.029855317638535,004,2019_Jul_09_2126,Kevin,
